duration,input.all_runs_events,input.doc_id,input.lowercase_sentence,input.sentence,input.sentence_id,job,output.selectedtags_desc,output.selectedtags_desc.annotations,output.selectedtags_desc.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial,validated_event,no_of_annotations,validated_event_final_score,validated_event_initial_score,Experts
41.45,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321547_things_nomotivation,"Counter({'informed__37__45': 17, 'abused__113__119': 15, 'investigation__83__96': 13, 'campaign__266__274': 11, 'face__69__73': 11, 'get__230__233': 9})",76,6,20,0.6687428071008106,"Counter({'informed__37__45': 0.8946067038350854, 'abused__113__119': 0.7729095000396747, 'investigation__83__96': 0.7021553158415378, 'face__69__73': 0.6054671298670948, 'campaign__266__274': 0.5837490600391448, 'get__230__233': 0.5098392685854217})",0.6259437468748794,"Counter({'informed__37__45': 0.85, 'abused__113__119': 0.75, 'investigation__83__96': 0.65, 'campaign__266__274': 0.55, 'face__69__73': 0.55, 'get__230__233': 0.45})",informed__37__45,17,0.8946067038350854,0.85,1.0
41.45,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321547_things_nomotivation,"Counter({'informed__37__45': 17, 'abused__113__119': 15, 'investigation__83__96': 13, 'campaign__266__274': 11, 'face__69__73': 11, 'get__230__233': 9})",76,6,20,0.6687428071008106,"Counter({'informed__37__45': 0.8946067038350854, 'abused__113__119': 0.7729095000396747, 'investigation__83__96': 0.7021553158415378, 'face__69__73': 0.6054671298670948, 'campaign__266__274': 0.5837490600391448, 'get__230__233': 0.5098392685854217})",0.6259437468748794,"Counter({'informed__37__45': 0.85, 'abused__113__119': 0.75, 'investigation__83__96': 0.65, 'campaign__266__274': 0.55, 'face__69__73': 0.55, 'get__230__233': 0.45})",face__69__73,11,0.6054671298670948,0.55,1.0
41.45,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321547_things_nomotivation,"Counter({'informed__37__45': 17, 'abused__113__119': 15, 'investigation__83__96': 13, 'campaign__266__274': 11, 'face__69__73': 11, 'get__230__233': 9})",76,6,20,0.6687428071008106,"Counter({'informed__37__45': 0.8946067038350854, 'abused__113__119': 0.7729095000396747, 'investigation__83__96': 0.7021553158415378, 'face__69__73': 0.6054671298670948, 'campaign__266__274': 0.5837490600391448, 'get__230__233': 0.5098392685854217})",0.6259437468748794,"Counter({'informed__37__45': 0.85, 'abused__113__119': 0.75, 'investigation__83__96': 0.65, 'campaign__266__274': 0.55, 'face__69__73': 0.55, 'get__230__233': 0.45})",investigation__83__96,13,0.7021553158415378,0.65,1.0
41.45,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321547_things_nomotivation,"Counter({'informed__37__45': 17, 'abused__113__119': 15, 'investigation__83__96': 13, 'campaign__266__274': 11, 'face__69__73': 11, 'get__230__233': 9})",76,6,20,0.6687428071008106,"Counter({'informed__37__45': 0.8946067038350854, 'abused__113__119': 0.7729095000396747, 'investigation__83__96': 0.7021553158415378, 'face__69__73': 0.6054671298670948, 'campaign__266__274': 0.5837490600391448, 'get__230__233': 0.5098392685854217})",0.6259437468748794,"Counter({'informed__37__45': 0.85, 'abused__113__119': 0.75, 'investigation__83__96': 0.65, 'campaign__266__274': 0.55, 'face__69__73': 0.55, 'get__230__233': 0.45})",abused__113__119,15,0.7729095000396747,0.75,1.0
41.45,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321547_things_nomotivation,"Counter({'informed__37__45': 17, 'abused__113__119': 15, 'investigation__83__96': 13, 'campaign__266__274': 11, 'face__69__73': 11, 'get__230__233': 9})",76,6,20,0.6687428071008106,"Counter({'informed__37__45': 0.8946067038350854, 'abused__113__119': 0.7729095000396747, 'investigation__83__96': 0.7021553158415378, 'face__69__73': 0.6054671298670948, 'campaign__266__274': 0.5837490600391448, 'get__230__233': 0.5098392685854217})",0.6259437468748794,"Counter({'informed__37__45': 0.85, 'abused__113__119': 0.75, 'investigation__83__96': 0.65, 'campaign__266__274': 0.55, 'face__69__73': 0.55, 'get__230__233': 0.45})",get__230__233,9,0.5098392685854217,0.45,1.0
41.45,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321547_things_nomotivation,"Counter({'informed__37__45': 17, 'abused__113__119': 15, 'investigation__83__96': 13, 'campaign__266__274': 11, 'face__69__73': 11, 'get__230__233': 9})",76,6,20,0.6687428071008106,"Counter({'informed__37__45': 0.8946067038350854, 'abused__113__119': 0.7729095000396747, 'investigation__83__96': 0.7021553158415378, 'face__69__73': 0.6054671298670948, 'campaign__266__274': 0.5837490600391448, 'get__230__233': 0.5098392685854217})",0.6259437468748794,"Counter({'informed__37__45': 0.85, 'abused__113__119': 0.75, 'investigation__83__96': 0.65, 'campaign__266__274': 0.55, 'face__69__73': 0.55, 'get__230__233': 0.45})",campaign__266__274,11,0.5837490600391448,0.55,1.0
41.45,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321547_things_nomotivation,"Counter({'informed__37__45': 17, 'abused__113__119': 15, 'investigation__83__96': 13, 'campaign__266__274': 11, 'face__69__73': 11, 'get__230__233': 9})",76,6,20,0.6687428071008106,"Counter({'informed__37__45': 0.8946067038350854, 'abused__113__119': 0.7729095000396747, 'investigation__83__96': 0.7021553158415378, 'face__69__73': 0.6054671298670948, 'campaign__266__274': 0.5837490600391448, 'get__230__233': 0.5098392685854217})",0.6259437468748794,"Counter({'informed__37__45': 0.85, 'abused__113__119': 0.75, 'investigation__83__96': 0.65, 'campaign__266__274': 0.55, 'face__69__73': 0.55, 'get__230__233': 0.45})",no_event,0,0.0,0.0,0.0
55.6,denied__16__22###accepting__23__32###alleged__159__166###campaign__41__49###denied accepting__16__32,nyt_20130321_sarkozy,"mr. sarkozy has denied accepting illegal campaign funds from ms. bettencourt , either personally or through his party treasurer at the time , eric woerth , as alleged by her former butler 0","Mr. Sarkozy has denied accepting illegal campaign funds from Ms. Bettencourt , either personally or through his party treasurer at the time , Eric Woerth , as alleged by her former butler .",1,../../data/pilot_crowd_data/raw_data/f1321547_things_nomotivation,"Counter({'alleged__159__166': 12, 'denied accepting__16__32': 11, 'denied__16__22': 11, 'campaign__41__49': 6, 'accepting__23__32': 6})",46,5,20,0.4897145514992024,"Counter({'alleged__159__166': 0.6747604790294887, 'denied__16__22': 0.615712375718868, 'denied accepting__16__32': 0.5572518941432865, 'accepting__23__32': 0.36781457733567957, 'campaign__41__49': 0.2920599166092823})",0.44447777843342207,"Counter({'alleged__159__166': 0.6, 'denied accepting__16__32': 0.55, 'denied__16__22': 0.55, 'campaign__41__49': 0.3, 'accepting__23__32': 0.3})",denied__16__22,11,0.6157123757188679,0.55,1.0
55.6,denied__16__22###accepting__23__32###alleged__159__166###campaign__41__49###denied accepting__16__32,nyt_20130321_sarkozy,"mr. sarkozy has denied accepting illegal campaign funds from ms. bettencourt , either personally or through his party treasurer at the time , eric woerth , as alleged by her former butler 0","Mr. Sarkozy has denied accepting illegal campaign funds from Ms. Bettencourt , either personally or through his party treasurer at the time , Eric Woerth , as alleged by her former butler .",1,../../data/pilot_crowd_data/raw_data/f1321547_things_nomotivation,"Counter({'alleged__159__166': 12, 'denied accepting__16__32': 11, 'denied__16__22': 11, 'campaign__41__49': 6, 'accepting__23__32': 6})",46,5,20,0.4897145514992024,"Counter({'alleged__159__166': 0.6747604790294887, 'denied__16__22': 0.615712375718868, 'denied accepting__16__32': 0.5572518941432865, 'accepting__23__32': 0.36781457733567957, 'campaign__41__49': 0.2920599166092823})",0.44447777843342207,"Counter({'alleged__159__166': 0.6, 'denied accepting__16__32': 0.55, 'denied__16__22': 0.55, 'campaign__41__49': 0.3, 'accepting__23__32': 0.3})",accepting__23__32,6,0.3678145773356796,0.3,1.0
55.6,denied__16__22###accepting__23__32###alleged__159__166###campaign__41__49###denied accepting__16__32,nyt_20130321_sarkozy,"mr. sarkozy has denied accepting illegal campaign funds from ms. bettencourt , either personally or through his party treasurer at the time , eric woerth , as alleged by her former butler 0","Mr. Sarkozy has denied accepting illegal campaign funds from Ms. Bettencourt , either personally or through his party treasurer at the time , Eric Woerth , as alleged by her former butler .",1,../../data/pilot_crowd_data/raw_data/f1321547_things_nomotivation,"Counter({'alleged__159__166': 12, 'denied accepting__16__32': 11, 'denied__16__22': 11, 'campaign__41__49': 6, 'accepting__23__32': 6})",46,5,20,0.4897145514992024,"Counter({'alleged__159__166': 0.6747604790294887, 'denied__16__22': 0.615712375718868, 'denied accepting__16__32': 0.5572518941432865, 'accepting__23__32': 0.36781457733567957, 'campaign__41__49': 0.2920599166092823})",0.44447777843342207,"Counter({'alleged__159__166': 0.6, 'denied accepting__16__32': 0.55, 'denied__16__22': 0.55, 'campaign__41__49': 0.3, 'accepting__23__32': 0.3})",alleged__159__166,12,0.6747604790294887,0.6,1.0
