duration,input.all_runs_times,input.doc_id,input.lowercase_sentence,input.sentence,input.sentence_id,input.time_expressions,job,output.selectedtags_desc,output.selectedtags_desc.annotations,output.selectedtags_desc.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial,validated_time,no_of_annotations,validated_time_final_score,validated_time_initial_score,Experts
32.3,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1323741_temporal_allmotivation,"Counter({'12 and 18 months__58__74': 19, '18 months__65__74': 9, '12__58__60': 7, 'and__61__64': 1})",36,4,20,0.7163857250056156,"Counter({'12 and 18 months__58__74': 0.9504472998161466, '18 months__65__74': 0.4935192386033275, '12__58__60': 0.3858310018360888, 'and__61__64': 0.055332743219001654})",0.7202986286597423,"Counter({'12 and 18 months__58__74': 0.95, '18 months__65__74': 0.45, '12__58__60': 0.35, 'and__61__64': 0.05})",18 months__65__74,9,0.4935192386033275,0.45,1.0
32.3,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1323741_temporal_allmotivation,"Counter({'12 and 18 months__58__74': 19, '18 months__65__74': 9, '12__58__60': 7, 'and__61__64': 1})",36,4,20,0.7163857250056156,"Counter({'12 and 18 months__58__74': 0.9504472998161466, '18 months__65__74': 0.4935192386033275, '12__58__60': 0.3858310018360888, 'and__61__64': 0.055332743219001654})",0.7202986286597423,"Counter({'12 and 18 months__58__74': 0.95, '18 months__65__74': 0.45, '12__58__60': 0.35, 'and__61__64': 0.05})",12 and 18 months__58__74,19,0.9504472998161466,0.95,0.0
32.3,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1323741_temporal_allmotivation,"Counter({'12 and 18 months__58__74': 19, '18 months__65__74': 9, '12__58__60': 7, 'and__61__64': 1})",36,4,20,0.7163857250056156,"Counter({'12 and 18 months__58__74': 0.9504472998161466, '18 months__65__74': 0.4935192386033275, '12__58__60': 0.3858310018360888, 'and__61__64': 0.055332743219001654})",0.7202986286597423,"Counter({'12 and 18 months__58__74': 0.95, '18 months__65__74': 0.45, '12__58__60': 0.35, 'and__61__64': 0.05})",12__58__60,7,0.3858310018360888,0.35,1.0
32.3,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1323741_temporal_allmotivation,"Counter({'12 and 18 months__58__74': 19, '18 months__65__74': 9, '12__58__60': 7, 'and__61__64': 1})",36,4,20,0.7163857250056156,"Counter({'12 and 18 months__58__74': 0.9504472998161466, '18 months__65__74': 0.4935192386033275, '12__58__60': 0.3858310018360888, 'and__61__64': 0.055332743219001654})",0.7202986286597423,"Counter({'12 and 18 months__58__74': 0.95, '18 months__65__74': 0.45, '12__58__60': 0.35, 'and__61__64': 0.05})",and__61__64,1,0.05533274321900165,0.05,0.0
32.3,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1323741_temporal_allmotivation,"Counter({'12 and 18 months__58__74': 19, '18 months__65__74': 9, '12__58__60': 7, 'and__61__64': 1})",36,4,20,0.7163857250056156,"Counter({'12 and 18 months__58__74': 0.9504472998161466, '18 months__65__74': 0.4935192386033275, '12__58__60': 0.3858310018360888, 'and__61__64': 0.055332743219001654})",0.7202986286597423,"Counter({'12 and 18 months__58__74': 0.95, '18 months__65__74': 0.45, '12__58__60': 0.35, 'and__61__64': 0.05})",no_time,0,0.0,0.0,0.0
36.55,1953__113__117###1953 .__113__119,bbc_20130322_1150,new zealand-born mr lowe was part of the team that helped sir edmund hillary and tenzing norgay to the summit in 1953 .,New Zealand-born Mr Lowe was part of the team that helped Sir Edmund Hillary and Tenzing Norgay to the summit in 1953 .,2,1,../../data/pilot_crowd_data/raw_data/f1323741_temporal_allmotivation,"Counter({'1953__113__117': 17, '1953 .__113__119': 9, 'no_time': 1})",27,3,20,0.7218864287318583,"Counter({'1953__113__117': 0.8973918582352853, '1953 .__113__119': 0.4593574827504941, 'no_time': 0.028693911250442863})",0.6652472085245796,"Counter({'1953__113__117': 0.85, '1953 .__113__119': 0.45, 'no_time': 0.05})",1953__113__117,17,0.8973918582352853,0.85,1.0
36.55,1953__113__117###1953 .__113__119,bbc_20130322_1150,new zealand-born mr lowe was part of the team that helped sir edmund hillary and tenzing norgay to the summit in 1953 .,New Zealand-born Mr Lowe was part of the team that helped Sir Edmund Hillary and Tenzing Norgay to the summit in 1953 .,2,1,../../data/pilot_crowd_data/raw_data/f1323741_temporal_allmotivation,"Counter({'1953__113__117': 17, '1953 .__113__119': 9, 'no_time': 1})",27,3,20,0.7218864287318583,"Counter({'1953__113__117': 0.8973918582352853, '1953 .__113__119': 0.4593574827504941, 'no_time': 0.028693911250442863})",0.6652472085245796,"Counter({'1953__113__117': 0.85, '1953 .__113__119': 0.45, 'no_time': 0.05})",1953 .__113__119,9,0.4593574827504941,0.45,0.0
36.55,1953__113__117###1953 .__113__119,bbc_20130322_1150,new zealand-born mr lowe was part of the team that helped sir edmund hillary and tenzing norgay to the summit in 1953 .,New Zealand-born Mr Lowe was part of the team that helped Sir Edmund Hillary and Tenzing Norgay to the summit in 1953 .,2,1,../../data/pilot_crowd_data/raw_data/f1323741_temporal_allmotivation,"Counter({'1953__113__117': 17, '1953 .__113__119': 9, 'no_time': 1})",27,3,20,0.7218864287318583,"Counter({'1953__113__117': 0.8973918582352853, '1953 .__113__119': 0.4593574827504941, 'no_time': 0.028693911250442863})",0.6652472085245796,"Counter({'1953__113__117': 0.85, '1953 .__113__119': 0.45, 'no_time': 0.05})",no_time,1,0.028693911250442863,0.05,0.0
59.9,1953__71__75,bbc_20130322_1150,the last surviving member of the team which first conquered everest in 1953 has died in a derbyshire nursing home .,The last surviving member of the team which first conquered Everest in 1953 has died in a Derbyshire nursing home .,0,1,../../data/pilot_crowd_data/raw_data/f1323741_temporal_allmotivation,"Counter({'1953__71__75': 19, 'no_time': 1})",20,2,20,0.9428729940866682,"Counter({'1953__71__75': 0.972150714294798, 'no_time': 0.02784928570520211})",0.9,"Counter({'1953__71__75': 0.95, 'no_time': 0.05})",1953__71__75,19,0.9721507142947979,0.95,1.0
59.9,1953__71__75,bbc_20130322_1150,the last surviving member of the team which first conquered everest in 1953 has died in a derbyshire nursing home .,The last surviving member of the team which first conquered Everest in 1953 has died in a Derbyshire nursing home .,0,1,../../data/pilot_crowd_data/raw_data/f1323741_temporal_allmotivation,"Counter({'1953__71__75': 19, 'no_time': 1})",20,2,20,0.9428729940866682,"Counter({'1953__71__75': 0.972150714294798, 'no_time': 0.02784928570520211})",0.9,"Counter({'1953__71__75': 0.95, 'no_time': 0.05})",no_time,1,0.02784928570520211,0.05,0.0
