duration,input.all_possible_pgsm_times,input.doc_id,input.lowercase_sentence,input.sentence,input.sentence_id,input.time_expressions,job,output.selectedtags_desc,output.selectedtags_desc.annotations,output.selectedtags_desc.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial,validated_time,no_of_annotations,validated_time_final_score,validated_time_initial_score,Experts
67.75,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'12 and 18 months__58__74': 17, '18 months__65__74': 11, '12__58__60': 5, 'and__61__64': 1})",34,4,20,0.655252453118225,"Counter({'12 and 18 months__58__74': 0.8647875087417828, '18 months__65__74': 0.5650429581912499, '12__58__60': 0.2723481607571614, 'and__61__64': 0.055899554090732786})",0.6450107261770934,"Counter({'12 and 18 months__58__74': 0.85, '18 months__65__74': 0.55, '12__58__60': 0.25, 'and__61__64': 0.05})",18 months__65__74,11,0.5650429581912499,0.55,1.0
67.75,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'12 and 18 months__58__74': 17, '18 months__65__74': 11, '12__58__60': 5, 'and__61__64': 1})",34,4,20,0.655252453118225,"Counter({'12 and 18 months__58__74': 0.8647875087417828, '18 months__65__74': 0.5650429581912499, '12__58__60': 0.2723481607571614, 'and__61__64': 0.055899554090732786})",0.6450107261770934,"Counter({'12 and 18 months__58__74': 0.85, '18 months__65__74': 0.55, '12__58__60': 0.25, 'and__61__64': 0.05})",12 and 18 months__58__74,17,0.8647875087417828,0.85,0.0
67.75,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'12 and 18 months__58__74': 17, '18 months__65__74': 11, '12__58__60': 5, 'and__61__64': 1})",34,4,20,0.655252453118225,"Counter({'12 and 18 months__58__74': 0.8647875087417828, '18 months__65__74': 0.5650429581912499, '12__58__60': 0.2723481607571614, 'and__61__64': 0.055899554090732786})",0.6450107261770934,"Counter({'12 and 18 months__58__74': 0.85, '18 months__65__74': 0.55, '12__58__60': 0.25, 'and__61__64': 0.05})",12__58__60,5,0.2723481607571614,0.25,1.0
67.75,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'12 and 18 months__58__74': 17, '18 months__65__74': 11, '12__58__60': 5, 'and__61__64': 1})",34,4,20,0.655252453118225,"Counter({'12 and 18 months__58__74': 0.8647875087417828, '18 months__65__74': 0.5650429581912499, '12__58__60': 0.2723481607571614, 'and__61__64': 0.055899554090732786})",0.6450107261770934,"Counter({'12 and 18 months__58__74': 0.85, '18 months__65__74': 0.55, '12__58__60': 0.25, 'and__61__64': 0.05})",and__61__64,1,0.05589955409073279,0.05,0.0
67.75,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'12 and 18 months__58__74': 17, '18 months__65__74': 11, '12__58__60': 5, 'and__61__64': 1})",34,4,20,0.655252453118225,"Counter({'12 and 18 months__58__74': 0.8647875087417828, '18 months__65__74': 0.5650429581912499, '12__58__60': 0.2723481607571614, 'and__61__64': 0.055899554090732786})",0.6450107261770934,"Counter({'12 and 18 months__58__74': 0.85, '18 months__65__74': 0.55, '12__58__60': 0.25, 'and__61__64': 0.05})",no_time,0,0.0,0.0,0.0
26.5,1953__113__117,bbc_20130322_1150,new zealand-born mr lowe was part of the team that helped sir edmund hillary and tenzing norgay to the summit in 1953 .,New Zealand-born Mr Lowe was part of the team that helped Sir Edmund Hillary and Tenzing Norgay to the summit in 1953 .,2,1,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,Counter({'1953__113__117': 20}),20,1,20,1.0,Counter({'1953__113__117': 1.0}),1.0,Counter({'1953__113__117': 1.0}),1953__113__117,20,1.0,1.0,1.0
26.5,1953__113__117,bbc_20130322_1150,new zealand-born mr lowe was part of the team that helped sir edmund hillary and tenzing norgay to the summit in 1953 .,New Zealand-born Mr Lowe was part of the team that helped Sir Edmund Hillary and Tenzing Norgay to the summit in 1953 .,2,1,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,Counter({'1953__113__117': 20}),20,1,20,1.0,Counter({'1953__113__117': 1.0}),1.0,Counter({'1953__113__117': 1.0}),no_time,0,0.0,0.0,0.0
41.4,1953__71__75,bbc_20130322_1150,the last surviving member of the team which first conquered everest in 1953 has died in a derbyshire nursing home .,The last surviving member of the team which first conquered Everest in 1953 has died in a Derbyshire nursing home .,0,1,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,Counter({'1953__71__75': 20}),20,1,20,1.0,Counter({'1953__71__75': 1.0}),1.0,Counter({'1953__71__75': 1.0}),1953__71__75,20,1.0,1.0,1.0
41.4,1953__71__75,bbc_20130322_1150,the last surviving member of the team which first conquered everest in 1953 has died in a derbyshire nursing home .,The last surviving member of the team which first conquered Everest in 1953 has died in a Derbyshire nursing home .,0,1,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,Counter({'1953__71__75': 20}),20,1,20,1.0,Counter({'1953__71__75': 1.0}),1.0,Counter({'1953__71__75': 1.0}),no_time,0,0.0,0.0,0.0
33.6,1957 - 58__60__69###1957__60__64###58__67__69,bbc_20130322_1150,"mr lowe also took part in the trans-antarctic expedition of 1957 - 58 , which made the first successful overland crossing of antarctica via the south pole .","Mr Lowe also took part in the trans-Antarctic expedition of 1957 - 58 , which made the first successful overland crossing of Antarctica via the South Pole .",4,2,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'1957 - 58__60__69': 17, '1957__60__64': 10, '58__67__69': 6})",33,3,20,0.6658655965169199,"Counter({'1957 - 58__60__69': 0.8710413190853863, '1957__60__64': 0.5172051152099713, '58__67__69': 0.33018519729544016})",0.6488065325060184,"Counter({'1957 - 58__60__69': 0.85, '1957__60__64': 0.5, '58__67__69': 0.3})",1957 - 58__60__69,17,0.8710413190853863,0.85,0.0
33.6,1957 - 58__60__69###1957__60__64###58__67__69,bbc_20130322_1150,"mr lowe also took part in the trans-antarctic expedition of 1957 - 58 , which made the first successful overland crossing of antarctica via the south pole .","Mr Lowe also took part in the trans-Antarctic expedition of 1957 - 58 , which made the first successful overland crossing of Antarctica via the South Pole .",4,2,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'1957 - 58__60__69': 17, '1957__60__64': 10, '58__67__69': 6})",33,3,20,0.6658655965169199,"Counter({'1957 - 58__60__69': 0.8710413190853863, '1957__60__64': 0.5172051152099713, '58__67__69': 0.33018519729544016})",0.6488065325060184,"Counter({'1957 - 58__60__69': 0.85, '1957__60__64': 0.5, '58__67__69': 0.3})",1957__60__64,10,0.5172051152099713,0.5,1.0
33.6,1957 - 58__60__69###1957__60__64###58__67__69,bbc_20130322_1150,"mr lowe also took part in the trans-antarctic expedition of 1957 - 58 , which made the first successful overland crossing of antarctica via the south pole .","Mr Lowe also took part in the trans-Antarctic expedition of 1957 - 58 , which made the first successful overland crossing of Antarctica via the South Pole .",4,2,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'1957 - 58__60__69': 17, '1957__60__64': 10, '58__67__69': 6})",33,3,20,0.6658655965169199,"Counter({'1957 - 58__60__69': 0.8710413190853863, '1957__60__64': 0.5172051152099713, '58__67__69': 0.33018519729544016})",0.6488065325060184,"Counter({'1957 - 58__60__69': 0.85, '1957__60__64': 0.5, '58__67__69': 0.3})",58__67__69,6,0.33018519729544016,0.3,1.0
33.6,1957 - 58__60__69###1957__60__64###58__67__69,bbc_20130322_1150,"mr lowe also took part in the trans-antarctic expedition of 1957 - 58 , which made the first successful overland crossing of antarctica via the south pole .","Mr Lowe also took part in the trans-Antarctic expedition of 1957 - 58 , which made the first successful overland crossing of Antarctica via the South Pole .",4,2,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'1957 - 58__60__69': 17, '1957__60__64': 10, '58__67__69': 6})",33,3,20,0.6658655965169199,"Counter({'1957 - 58__60__69': 0.8710413190853863, '1957__60__64': 0.5172051152099713, '58__67__69': 0.33018519729544016})",0.6488065325060184,"Counter({'1957 - 58__60__69': 0.85, '1957__60__64': 0.5, '58__67__69': 0.3})",no_time,0,0.0,0.0,0.0
91.55,1984__19__23###last June__75__84###1953__40__44###June__80__84,bbc_20130322_1150,"the last british climbing member of the 1953 team , mike westmacott , died last june .","The last British climbing member of the 1953 team , Mike Westmacott , died last June .",19,1,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'last june__75__84': 17, '1953__40__44': 17, 'june__80__84': 11, '1984__19__23': 8})",53,4,20,0.7173657693908075,"Counter({'last june__75__84': 0.8664656188764163, '1953__40__44': 0.8640131552920811, 'june__80__84': 0.5727463377980917, '1984__19__23': 0.42993253302260326})",0.701950344754494,"Counter({'last june__75__84': 0.85, '1953__40__44': 0.85, 'june__80__84': 0.55, '1984__19__23': 0.4})",1984__19__23,8,0.4299325330226033,0.4,0.0
91.55,1984__19__23###last June__75__84###1953__40__44###June__80__84,bbc_20130322_1150,"the last british climbing member of the 1953 team , mike westmacott , died last june .","The last British climbing member of the 1953 team , Mike Westmacott , died last June .",19,1,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'last june__75__84': 17, '1953__40__44': 17, 'june__80__84': 11, '1984__19__23': 8})",53,4,20,0.7173657693908075,"Counter({'last june__75__84': 0.8664656188764163, '1953__40__44': 0.8640131552920811, 'june__80__84': 0.5727463377980917, '1984__19__23': 0.42993253302260326})",0.701950344754494,"Counter({'last june__75__84': 0.85, '1953__40__44': 0.85, 'june__80__84': 0.55, '1984__19__23': 0.4})",last june__75__84,17,0.8664656188764163,0.85,1.0
91.55,1984__19__23###last June__75__84###1953__40__44###June__80__84,bbc_20130322_1150,"the last british climbing member of the 1953 team , mike westmacott , died last june .","The last British climbing member of the 1953 team , Mike Westmacott , died last June .",19,1,../../data/pilot_crowd_data/raw_data/f1331299_allpossibletimes_motivation&highlight,"Counter({'last june__75__84': 17, '1953__40__44': 17, 'june__80__84': 11, '1984__19__23': 8})",53,4,20,0.7173657693908075,"Counter({'last june__75__84': 0.8664656188764163, '1953__40__44': 0.8640131552920811, 'june__80__84': 0.5727463377980917, '1984__19__23': 0.42993253302260326})",0.701950344754494,"Counter({'last june__75__84': 0.85, '1953__40__44': 0.85, 'june__80__84': 0.55, '1984__19__23': 0.4})",1953__40__44,17,0.8640131552920811,0.85,0.0
