Doc Id,Sentence Id,Sentence,Lowercase Sentence,#Tokens,Stanford POS Tag,Stanford Lemma,Stanford Lower Lemma,#POS Tags,#Lemmas,#Events,#Time Expressions
wsj_0791,0,Norwood Partners Limited Partnership of Boston said it may make a tender offer for some or all of Phoenix Technologies Ltd. 's common shares .,norwood partners limited partnership of boston said it may make a tender offer for some or all of phoenix technologies ltd. 's common shares .,25,NNP NNPS NNP NNP IN NNP VBD PRP MD VB DT NN NN IN DT CC DT IN NNP NNPS NNP POS JJ NNS .,Norwood Partners Limited Partnership of Boston say it may make a tender offer for some or all of Phoenix Technologies Ltd. 's common share .,norwood partners limited partnership of boston say it may make a tender offer for some or all of phoenix technologies ltd. 's common share .,25,25,3,0.0
wsj_0791,1,"Norwood , Mass.-based Phoenix , a once-high-flying maker of software for personal computers , has had substantial losses in the past two quarters .","norwood , mass.-based phoenix , a once-high-flying maker of software for personal computers , has had substantial losses in the past two quarters .",24,"NNP , JJ NNP , DT JJ NN IN NN IN JJ NNS , VBZ VBN JJ NNS IN DT JJ CD NNS .","Norwood , mass.-based Phoenix , a once-high-flying maker of software for personal computer , have have substantial loss in the past two quarter .","norwood , mass.-based phoenix , a once-high-flying maker of software for personal computer , have have substantial loss in the past two quarter .",24,24,2,1.0
wsj_0791,2,"Its stock , which was as high as $ 18.75 a share , has been trading under $ 4 a share recently .","its stock , which was as high as $ 18.75 a share , has been trading under $ 4 a share recently .",23,"PRP$ NN , WDT VBD RB JJ IN $ CD DT NN , VBZ VBN VBG IN $ CD DT NN RB .","its stock , which be as high as $ 18.75 a share , have be trade under $ 4 a share recently .","its stock , which be as high as $ 18.75 a share , have be trade under $ 4 a share recently .",23,23,1,1.0
wsj_0791,3,"Yesterday it closed at $ 4.375 a share , up $ 1.125 , in national over-the-counter trading .","yesterday it closed at $ 4.375 a share , up $ 1.125 , in national over-the-counter trading .",18,"NN PRP VBD IN $ CD DT NN , RB $ CD , IN JJ JJ NN .","yesterday it close at $ 4.375 a share , up $ 1.125 , in national over-the-counter trading .","yesterday it close at $ 4.375 a share , up $ 1.125 , in national over-the-counter trading .",18,18,2,1.0
wsj_0791,4,"In a Securities and Exchange Commission filing , Norwood said it 's part of a group that holds 525,546 Phoenix Technologies common shares , or a 5.3 % stake .","in a securities and exchange commission filing , norwood said it 's part of a group that holds 525,546 phoenix technologies common shares , or a 5.3 % stake .",30,"IN DT NNP CC NNP NNP NN , NNP VBD PRP VBZ NN IN DT NN WDT VBZ CD NNP NNP JJ NNS , CC DT CD NN NN .","in a Securities and Exchange Commission filing , Norwood say it be part of a group that hold 525,546 Phoenix Technologies common share , or a 5.3 % stake .","in a securities and exchange commission filing , norwood say it be part of a group that hold 525,546 phoenix technologies common share , or a 5.3 % stake .",30,30,2,0.0
wsj_0791,5,"Norwood has made `` no detailed plans , '' but it has engaged in talks with other shareholders , the filing said .","norwood has made `` no detailed plans , '' but it has engaged in talks with other shareholders , the filing said .",23,"NNP VBZ VBN `` DT JJ NNS , '' CC PRP VBZ VBN IN NNS IN JJ NNS , DT NN VBD .","Norwood have make `` no detailed plan , '' but it have engage in talk with other shareholder , the filing say .","norwood have make `` no detailed plan , '' but it have engage in talk with other shareholder , the filing say .",23,23,5,0.0
wsj_0791,6,Phoenix declined to comment .,phoenix declined to comment .,5,NNP VBD TO VB .,Phoenix decline to comment .,phoenix decline to comment .,5,5,2,0.0
wsj_0791,7,"Norwood is controlled by Daniel L. Barnett and Paul A. Reese , both officers of Boston-based Oasis Capital Management Inc. , a small Boston money management firm .","norwood is controlled by daniel l. barnett and paul a. reese , both officers of boston-based oasis capital management inc. , a small boston money management firm .",28,"NNP VBZ VBN IN NNP NNP NNP CC NNP NN NNP , DT NNS IN JJ NNP NNP NNP NNP , DT JJ NNP NN NN NN .","Norwood be control by Daniel L. Barnett and Paul a. Reese , both officer of boston-based Oasis Capital Management Inc. , a small Boston money management firm .","norwood be control by daniel l. barnett and paul a. reese , both officer of boston-based oasis capital management inc. , a small boston money management firm .",28,28,1,0.0
wsj_0791,8,"Also involved in the group is Robert F. Angelo , formerly Phoenix 's senior vice president , field operations , who left Phoenix at the beginning of October .","also involved in the group is robert f. angelo , formerly phoenix 's senior vice president , field operations , who left phoenix at the beginning of october .",29,"RB VBN IN DT NN VBZ NNP NNP NNP , RB NNP POS JJ NN NN , NN NNS , WP VBD NNP IN DT NN IN NNP .","also involve in the group be Robert F. Angelo , formerly Phoenix 's senior vice president , field operation , who leave Phoenix at the beginning of October .","also involve in the group be robert f. angelo , formerly phoenix 's senior vice president , field operation , who leave phoenix at the beginning of october .",29,29,2,1.0
wsj_0791,9,Mr. Angelo was described in the filing as a consultant to Oasis .,mr. angelo was described in the filing as a consultant to oasis .,13,NNP NNP VBD VBN IN DT NN IN DT NN TO NNP .,Mr. Angelo be describe in the filing as a consultant to Oasis .,mr. angelo be describe in the filing as a consultant to oasis .,13,13,2,0.0
